FirstName,LastName,Username,Password,OrganizationUnit,Description,EmailAddress,JobTitle,OfficePhone,Enabled
Amanda,Bradley,abradley,OTu4E@zQXm)$,"OU=FULL TIME EMPLOYEES,OU=LAGOS,DC=manueltech,DC=com",Full Time Employees user account,abradley@manueltech.com,Tree surgeon,9864652518,FALSE
Andrea,Rose,arose,^4esf1Iiu)h9,"OU=FULL TIME EMPLOYEES,OU=LAGOS,DC=manueltech,DC=com",Full Time Employees user account,arose@manueltech.com,Dramatherapist,822-538-0274,FALSE
Heather,Peterson,hpeterson,!5V6v+dHBsK5,"OU=USERS,OU=LAGOS,DC=manueltech,DC=com",Users user account,hpeterson@manueltech.com,Technical brewer,(845)324-7268,TRUE
Ashley,Simmons,asimmons,#4cOgk2Rl7DP,"OU=INTERNS,OU=LAGOS,DC=manueltech,DC=com",Interns user account,asimmons@manueltech.com,Outdoor activities/education manager,(355)139-9074,FALSE
Miranda,Williams,mwilliams,A)7E)HdVCh9J,"OU=USERS,OU=LAGOS,DC=manueltech,DC=com",Users user account,mwilliams@manueltech.com,IT technical support officer,689.390.8514x73518,FALSE
Cynthia,Guzman,cguzman,h0rn1FtzAS8^,"OU=FULL TIME EMPLOYEES,OU=LAGOS,DC=manueltech,DC=com",Full Time Employees user account,cguzman@manueltech.com,Hospital pharmacist,159-388-3714,FALSE
Eric,Hart,ehart,7Ji7&K3w3hs),"OU=USERS,OU=LAGOS,DC=manueltech,DC=com",Users user account,ehart@manueltech.com,Dance movement psychotherapist,001-594-838-4355x826,TRUE
Janice,Bond,jbond,CcPFD(lC&3g0,"OU=INTERNS,OU=LAGOS,DC=manueltech,DC=com",Interns user account,jbond@manueltech.com,Editorial assistant,(995)886-0345x8081,FALSE
Peter,Howard,phoward,_v7NPjy5yHpH,"OU=USERS,OU=LAGOS,DC=manueltech,DC=com",Users user account,phoward@manueltech.com,Geophysical data processor,(439)695-2261x78088,FALSE
Raymond,Moran,rmoran,+6paiy(6_vYk,"OU=FULL TIME EMPLOYEES,OU=LAGOS,DC=manueltech,DC=com",Full Time Employees user account,rmoran@manueltech.com,Geochemist,(298)340-0163x53631,TRUE
Michelle,Tucker,mtucker,IBx1WC_cAz!^,"OU=FULL TIME EMPLOYEES,OU=LAGOS,DC=manueltech,DC=com",Full Time Employees user account,mtucker@manueltech.com,"Accountant, chartered management",(284)286-9687x39825,TRUE
Katherine,Pena,kpena,*(u)79UxtXIZ,"OU=USERS,OU=LAGOS,DC=manueltech,DC=com",Users user account,kpena@manueltech.com,Product manager,001-000-229-7708x7490,FALSE
Monica,Reynolds,mreynolds,1x+1$jUAt#7V,"OU=FULL TIME EMPLOYEES,OU=LAGOS,DC=manueltech,DC=com",Full Time Employees user account,mreynolds@manueltech.com,Ecologist,543.299.3513x0450,FALSE
Wayne,Cline,wcline,%Re11Zg%11^i,"OU=FULL TIME EMPLOYEES,OU=LAGOS,DC=manueltech,DC=com",Full Time Employees user account,wcline@manueltech.com,"Designer, jewellery",(923)123-9250,FALSE
James,Goodwin,jgoodwin,A&29fJ(bzkO!,"OU=INTERNS,OU=LAGOS,DC=manueltech,DC=com",Interns user account,jgoodwin@manueltech.com,Field trials officer,226-093-5924,FALSE
Gloria,Lee,glee,j1ij6AxlD*dj,"OU=USERS,OU=LAGOS,DC=manueltech,DC=com",Users user account,glee@manueltech.com,"Pharmacist, hospital",614.024.4382x4266,FALSE
Joshua,Cameron,jcameron,Ec9LwwdS(szv,"OU=FULL TIME EMPLOYEES,OU=LAGOS,DC=manueltech,DC=com",Full Time Employees user account,jcameron@manueltech.com,IT technical support officer,2728178268,FALSE
Sean,Walker,swalker,^0cAYveu39PS,"OU=FULL TIME EMPLOYEES,OU=LAGOS,DC=manueltech,DC=com",Full Time Employees user account,swalker@manueltech.com,Retail buyer,(822)530-8542x544,TRUE
Victoria,Frazier,vfrazier,XF9^6aO(((9S,"OU=USERS,OU=LAGOS,DC=manueltech,DC=com",Users user account,vfrazier@manueltech.com,"Teacher, music",001-347-429-9638x1073,FALSE
Juan,Webster,jwebster,UAYPzIKj(MI4,"OU=USERS,OU=LAGOS,DC=manueltech,DC=com",Users user account,jwebster@manueltech.com,Logistics and distribution manager,(547)033-2504,TRUE
Ryan,Martinez,rmartinez,SNbajXzd0#$0,"OU=USERS,OU=LAGOS,DC=manueltech,DC=com",Users user account,rmartinez@manueltech.com,Mechanical engineer,984-381-9584x746,TRUE
Denise,Cruz,dcruz,!5Svt+h(OVF1,"OU=INTERNS,OU=LAGOS,DC=manueltech,DC=com",Interns user account,dcruz@manueltech.com,Data scientist,512-281-1698,TRUE
Mackenzie,Mendoza,mmendoza,@*7AkAF%pX6g,"OU=INTERNS,OU=LAGOS,DC=manueltech,DC=com",Interns user account,mmendoza@manueltech.com,Microbiologist,-10140,TRUE
Bridget,Day,bday,91LI@pLK*GX&,"OU=FULL TIME EMPLOYEES,OU=LAGOS,DC=manueltech,DC=com",Full Time Employees user account,bday@manueltech.com,Speech and language therapist,(902)015-2617x3315,FALSE
Donald,Bird,dbird,!5RyMbiOIqh8,"OU=FULL TIME EMPLOYEES,OU=LAGOS,DC=manueltech,DC=com",Full Time Employees user account,dbird@manueltech.com,"Administrator, education",623.437.4325x9685,TRUE
Edwin,Ramirez,eramirez,p&%h!1m)2o0J,"OU=INTERNS,OU=LAGOS,DC=manueltech,DC=com",Interns user account,eramirez@manueltech.com,"Pharmacist, hospital",(432)740-7703,TRUE
Paul,Mason,pmason,Bn7^@dq5I+XU,"OU=INTERNS,OU=LAGOS,DC=manueltech,DC=com",Interns user account,pmason@manueltech.com,Community arts worker,529.397.7534x293,TRUE
Adrienne,Bautista,abautista,pAI#Gcb&%9d@,"OU=USERS,OU=LAGOS,DC=manueltech,DC=com",Users user account,abautista@manueltech.com,"Teacher, special educational needs",(044)427-4317x76004,FALSE
Ashley,Wilson,awilson,$aaqBTIX_27A,"OU=INTERNS,OU=LAGOS,DC=manueltech,DC=com",Interns user account,awilson@manueltech.com,"Journalist, newspaper",504.963.9213,TRUE
Eric,Webster,ewebster,%3AnyXhw3wHU,"OU=INTERNS,OU=LAGOS,DC=manueltech,DC=com",Interns user account,ewebster@manueltech.com,"Engineer, civil (consulting)",231.653.2005x479,FALSE
Tammy,Hall,thall,BkYS&Hrh)3Bx,"OU=INTERNS,OU=LAGOS,DC=manueltech,DC=com",Interns user account,thall@manueltech.com,Theatre manager,001-580-158-5413x83977,TRUE
